Date,Apple,Amazon,Msft,Ibm,Spx
2/25/2014,-1.04%,1.86%,-0.40%,-0.12%,-0.13%
2/26/2014,-0.90%,0.41%,-0.19%,0.45%,0.00%
2/27/2014,1.99%,0.09%,1.04%,0.66%,0.49%
2/28/2014,-0.27%,0.55%,1.19%,-0.05%,0.28%
3/3/2014,0.29%,-0.64%,-1.38%,-0.49%,-0.74%
3/4/2014,0.66%,1.15%,1.67%,1.18%,1.53%
3/5/2014,0.21%,2.33%,-0.78%,0.38%,-0.01%
3/6/2014,-0.30%,-0.06%,0.10%,0.27%,0.17%
3/7/2014,-0.06%,-0.03%,-0.66%,0.02%,0.05%
3/10/2014,0.09%,-0.41%,-0.21%,-0.69%,-0.05%
3/11/2014,0.97%,-0.46%,0.53%,0.20%,-0.51%
3/12/2014,0.10%,0.49%,0.66%,-0.29%,0.03%
3/13/2014,-1.11%,0.23%,-0.99%,-1.25%,-1.17%
3/14/2014,-1.12%,0.60%,-0.50%,-0.92%,-0.28%
3/17/2014,0.39%,0.35%,0.93%,1.98%,0.96%
3/18/2014,0.89%,0.99%,3.94%,0.54%,0.72%
3/19/2014,-0.03%,-1.46%,-0.71%,-1.12%,-0.61%
3/20/2014,-0.48%,-1.14%,2.70%,1.73%,0.60%
3/21/2014,0.79%,-2.26%,-0.42%,-0.65%,-0.29%
3/24/2014,1.19%,-2.43%,0.85%,0.85%,-0.49%
3/25/2014,1.08%,0.81%,-0.40%,3.61%,0.44%
3/26/2014,-0.96%,-3.19%,-1.36%,-1.24%,-0.70%
3/27/2014,-0.43%,-1.44%,-1.08%,-1.45%,-0.19%
3/28/2014,-0.11%,-0.05%,2.39%,0.33%,0.46%
3/31/2014,-0.02%,-0.57%,1.71%,1.07%,0.79%
4/1/2014,0.91%,1.97%,1.05%,1.04%,0.70%
4/2/2014,0.17%,-0.30%,-0.17%,-0.49%,0.29%
4/3/2014,-0.69%,-2.44%,-0.82%,-0.44%,-0.11%
4/4/2014,-1.29%,-3.18%,-2.78%,-0.48%,-1.25%
4/7/2014,-1.57%,-1.62%,-0.18%,1.43%,-1.08%
4/8/2014,-0.01%,2.93%,0.05%,-0.63%,0.38%
4/9/2014,1.31%,1.45%,1.63%,1.73%,1.09%
4/10/2014,-1.29%,-4.43%,-2.74%,-0.49%,-2.09%
4/11/2014,-0.74%,-1.70%,-0.38%,-0.25%,-0.95%
4/14/2014,0.40%,1.34%,-0.07%,1.32%,0.82%
4/15/2014,-0.71%,0.05%,1.45%,-0.38%,0.68%
4/16/2014,0.20%,2.40%,1.64%,-0.31%,1.05%
4/17/2014,1.14%,0.38%,-0.97%,-3.25%,0.14%
4/21/2014,1.19%,1.83%,-0.17%,1.19%,0.38%
4/22/2014,0.10%,-0.47%,0.13%,-0.06%,0.41%
4/23/2014,-1.31%,-1.44%,-0.75%,-0.22%,-0.22%
4/24/2014,8.20%,3.87%,0.43%,-0.79%,0.17%
4/25/2014,0.73%,-9.88%,0.13%,-0.31%,-0.81%
4/28/2014,3.87%,-2.39%,2.41%,1.85%,0.32%
4/29/2014,-0.30%,1.28%,-0.88%,1.02%,0.48%
4/30/2014,-0.38%,1.25%,-0.27%,0.70%,0.30%
