Date,Apple,Amazon,Msft,Ibm,Spx
5/21/2015,1.02%,1.83%,-0.34%,-0.24%,0.23%
5/22/2015,0.88%,-0.93%,-1.10%,-0.65%,-0.22%
5/26/2015,-2.20%,-0.51%,-0.66%,-1.21%,-1.03%
5/27/2015,1.87%,1.40%,2.19%,1.10%,0.92%
5/28/2015,-0.20%,-1.12%,-0.34%,-0.17%,-0.13%
5/29/2015,-1.14%,0.62%,-1.24%,-1.20%,-0.63%
6/1/2015,0.20%,0.39%,0.79%,0.31%,0.21%
6/2/2015,-0.44%,0.02%,-0.66%,-0.31%,-0.10%
6/3/2015,0.12%,1.30%,-0.15%,0.16%,0.21%
6/4/2015,-0.58%,-1.33%,-1.05%,-0.91%,-0.86%
6/5/2015,-0.55%,-0.89%,-0.47%,-0.58%,-0.14%
6/8/2015,-0.66%,-0.81%,-0.89%,-1.23%,-0.65%
6/9/2015,-0.30%,0.47%,-0.17%,0.21%,0.04%
6/10/2015,1.15%,1.24%,2.10%,1.96%,1.20%
6/11/2015,-0.23%,0.51%,-0.36%,-0.08%,0.17%
6/12/2015,-1.10%,-0.70%,-1.01%,-1.06%,-0.70%
6/15/2015,-0.20%,-1.45%,-1.08%,-0.44%,-0.46%
6/16/2015,0.54%,0.85%,0.78%,0.35%,0.57%
6/17/2015,-0.24%,0.13%,0.31%,0.20%,0.20%
6/18/2015,0.46%,2.71%,1.63%,0.65%,0.99%
6/19/2015,-1.00%,-1.02%,-1.33%,-0.75%,-0.53%
6/22/2015,0.80%,0.32%,0.28%,0.44%,0.61%
6/23/2015,-0.45%,2.22%,-0.69%,0.53%,0.06%
6/24/2015,0.85%,-1.15%,-0.60%,-0.98%,-0.74%
6/25/2015,-0.48%,-0.17%,0.03%,-0.53%,-0.30%
6/26/2015,-0.59%,-0.45%,-0.85%,-0.37%,-0.04%
6/29/2015,-1.75%,-1.88%,-1.97%,-1.50%,-2.09%
6/30/2015,0.72%,0.98%,-0.50%,-0.19%,0.27%
7/1/2015,0.94%,0.76%,0.67%,1.13%,0.69%
7/2/2015,-0.13%,0.07%,-0.10%,0.36%,-0.03%
7/6/2015,-0.35%,-0.38%,-0.02%,-0.22%,-0.39%
7/7/2015,-0.25%,0.16%,-0.20%,0.16%,0.61%
7/8/2015,-2.48%,-1.61%,-0.14%,-1.12%,-1.67%
7/9/2015,-2.04%,1.09%,0.63%,0.42%,0.23%
7/10/2015,2.67%,2.10%,0.20%,1.89%,1.23%
7/13/2015,1.93%,2.72%,2.08%,1.46%,1.11%
7/14/2015,-0.04%,2.20%,0.18%,-0.45%,0.45%
7/15/2015,0.96%,-0.94%,0.31%,-0.05%,-0.07%
7/16/2015,1.33%,3.10%,1.97%,1.47%,0.80%
7/17/2015,0.86%,1.58%,-0.09%,0.88%,0.11%
7/20/2015,1.89%,1.05%,0.64%,0.41%,0.08%
7/21/2015,-1.00%,-0.02%,0.77%,-5.86%,-0.43%
7/22/2015,-4.23%,0.06%,-3.68%,-1.67%,-0.24%
7/23/2015,-0.05%,-1.25%,1.25%,0.86%,-0.57%
7/24/2015,-0.53%,9.80%,-0.37%,-1.22%,-1.07%
7/27/2015,-1.39%,0.38%,-1.28%,-0.43%,-0.58%
7/28/2015,0.50%,-1.01%,-0.02%,0.62%,1.24%
7/29/2015,-0.32%,0.56%,2.10%,0.65%,0.73%
7/30/2015,-0.50%,1.47%,1.27%,-0.08%,0.00%
7/31/2015,-0.87%,-0.11%,-0.38%,0.64%,-0.23%
8/3/2015,-2.36%,-0.21%,0.24%,-2.02%,-0.28%
8/4/2015,-3.21%,-0.59%,1.56%,-0.70%,-0.22%
8/5/2015,0.66%,0.96%,0.08%,0.19%,0.31%
8/6/2015,-0.23%,-1.41%,-2.02%,-1.00%,-0.78%
8/7/2015,0.34%,-1.29%,0.26%,-0.77%,-0.29%
8/10/2015,3.64%,0.26%,1.26%,1.05%,1.28%
8/11/2015,-5.20%,0.66%,-1.94%,-0.79%,-0.96%
8/12/2015,1.54%,-0.29%,0.71%,0.42%,0.10%
8/13/2015,-0.08%,0.71%,-0.02%,-0.70%,-0.13%
8/14/2015,0.70%,0.35%,0.58%,0.44%,0.39%
8/17/2015,1.03%,0.70%,0.68%,0.36%,0.52%
8/18/2015,-0.56%,-0.04%,-0.11%,-0.19%,-0.26%
8/19/2015,-1.28%,-0.39%,-1.40%,-1.33%,-0.83%
8/20/2015,-2.05%,-3.22%,-2.04%,-0.83%,-2.11%
8/21/2015,-6.12%,-4.13%,-5.67%,-2.50%,-3.19%
8/24/2015,-2.50%,-6.29%,-3.23%,-3.61%,-3.94%
8/25/2015,0.60%,0.65%,-2.90%,-1.75%,-1.35%
8/26/2015,5.74%,7.38%,5.53%,4.07%,3.90%
8/27/2015,2.94%,3.51%,2.79%,1.25%,2.43%
8/28/2015,0.33%,-0.07%,0.07%,-0.38%,0.06%
8/31/2015,-0.47%,-0.99%,-0.93%,-0.06%,-0.84%
9/1/2015,-4.47%,-3.19%,-3.91%,-3.52%,-2.96%
9/2/2015,4.29%,2.82%,3.68%,1.66%,1.83%
9/3/2015,-1.75%,-1.14%,0.32%,1.19%,0.12%
9/4/2015,-1.00%,-1.13%,-2.05%,-2.10%,-1.53%
9/8/2015,2.78%,3.72%,3.00%,2.46%,2.51%
9/9/2015,-1.92%,-0.13%,-1.87%,-1.48%,-1.39%
9/10/2015,2.20%,1.04%,0.51%,0.79%,0.53%
9/11/2015,1.46%,1.38%,0.44%,0.80%,0.45%
9/14/2015,0.96%,-1.52%,-1.01%,-1.17%,-0.41%
9/15/2015,0.84%,0.19%,2.18%,1.29%,1.28%
9/16/2015,0.11%,0.96%,0.73%,0.60%,0.87%
9/17/2015,-2.14%,2.18%,-0.11%,-0.18%,-0.26%
9/18/2015,-0.41%,0.26%,-1.74%,-2.45%,-1.62%
9/21/2015,1.55%,1.50%,1.45%,1.36%,0.46%
9/22/2015,-1.57%,-1.82%,-0.48%,-1.40%,-1.23%
9/23/2015,0.81%,-0.43%,-0.07%,-0.53%,-0.20%
9/24/2015,0.59%,-0.43%,0.09%,0.52%,-0.34%
9/25/2015,-0.25%,-1.78%,0.07%,0.70%,-0.05%
9/28/2015,-1.98%,-3.85%,-1.48%,-1.99%,-2.57%
9/29/2015,-3.01%,-1.59%,0.35%,-0.04%,0.12%
9/30/2015,1.14%,3.19%,1.89%,1.75%,1.91%
10/1/2015,-0.65%,1.72%,0.79%,-0.95%,0.20%
10/2/2015,0.73%,2.27%,2.15%,0.69%,1.43%
10/5/2015,0.36%,2.09%,2.33%,3.08%,1.83%
10/6/2015,0.48%,-1.14%,0.26%,-0.17%,-0.36%
10/7/2015,-0.48%,0.83%,0.11%,0.88%,0.80%
10/8/2015,-1.16%,-1.62%,1.39%,1.46%,0.88%
10/9/2015,2.39%,1.25%,-0.72%,0.07%,0.07%
10/12/2015,-0.46%,1.92%,-0.23%,-0.82%,0.13%
10/13/2015,0.17%,-0.23%,-0.23%,-1.01%,-0.68%
10/14/2015,-1.41%,-0.74%,-0.45%,0.26%,-0.47%
10/15/2015,1.50%,3.23%,0.71%,0.05%,1.49%
10/16/2015,-0.73%,1.48%,1.06%,0.20%,0.46%
10/19/2015,0.62%,0.42%,0.23%,-0.78%,0.03%
10/20/2015,1.83%,-2.14%,0.31%,-5.75%,-0.14%
10/21/2015,-0.01%,-0.91%,-1.19%,0.20%,-0.58%
10/22/2015,1.53%,1.46%,1.76%,2.25%,1.66%
10/23/2015,3.10%,6.23%,10.08%,0.41%,1.10%
10/26/2015,-3.19%,1.60%,2.61%,-0.71%,-0.19%
10/27/2015,-0.63%,0.39%,-1.03%,-4.04%,-0.26%
10/28/2015,4.12%,1.00%,0.54%,2.15%,1.18%
10/29/2015,1.06%,1.53%,-1.15%,-0.20%,-0.04%
10/30/2015,-0.85%,-0.10%,-1.35%,-0.33%,-0.48%
11/2/2015,1.41%,0.39%,1.14%,0.21%,1.19%
11/3/2015,1.15%,-0.48%,1.71%,1.08%,0.27%
11/4/2015,-0.47%,2.50%,0.46%,-0.18%,-0.35%
11/5/2015,-0.89%,2.29%,-0.04%,-1.23%,-0.11%
11/6/2015,0.12%,0.57%,0.99%,-1.17%,-0.03%
11/9/2015,-0.40%,-0.59%,-1.38%,-2.13%,-0.98%
11/10/2015,-3.15%,0.64%,-1.20%,0.12%,0.15%
11/11/2015,-0.57%,2.06%,0.26%,-0.33%,-0.32%
11/12/2015,-0.34%,-1.14%,-0.62%,-1.47%,-1.40%
11/13/2015,-2.92%,-3.49%,-0.90%,-0.97%,-1.12%
11/16/2015,1.63%,0.85%,1.75%,1.49%,1.49%
11/17/2015,-0.42%,-0.70%,-1.48%,0.08%,-0.13%
11/18/2015,3.17%,3.15%,1.66%,1.49%,1.62%
11/19/2015,1.27%,-0.34%,0.17%,0.68%,-0.11%
11/20/2015,0.44%,1.09%,0.46%,1.29%,0.38%
11/23/2015,-1.30%,1.58%,0.00%,-0.03%,-0.12%
11/24/2015,0.96%,-1.15%,0.11%,0.10%,0.12%
11/25/2015,-0.72%,0.62%,-1.03%,-0.43%,-0.01%
11/27/2015,-0.19%,-0.31%,0.45%,0.33%,0.06%
11/30/2015,0.42%,-1.26%,0.78%,0.69%,-0.46%
12/1/2015,-0.81%,2.15%,1.60%,1.33%,1.07%
12/2/2015,-0.90%,-0.45%,-0.02%,-1.12%,-1.10%
12/3/2015,-0.93%,-1.44%,-1.83%,-0.56%,-1.44%
12/4/2015,3.32%,0.96%,3.15%,1.09%,2.05%
12/7/2015,-0.63%,-0.42%,-0.18%,-0.63%,-0.70%
12/8/2015,-0.04%,1.12%,-0.04%,-1.07%,-0.65%
12/9/2015,-2.21%,-1.85%,-1.45%,-1.04%,-0.77%
12/10/2015,0.48%,-0.37%,0.53%,0.12%,0.23%
12/11/2015,-2.57%,-3.35%,-2.19%,-1.62%,-1.94%
12/14/2015,-0.62%,2.77%,2.00%,1.01%,0.48%
12/15/2015,-1.77%,0.11%,0.11%,1.37%,1.06%
12/16/2015,0.77%,2.60%,1.68%,1.09%,1.45%
12/17/2015,-2.12%,-0.76%,-0.77%,-1.82%,-1.50%
12/18/2015,-2.71%,-0.97%,-2.82%,-1.35%,-1.78%
12/21/2015,1.23%,0.06%,1.29%,0.44%,0.78%
12/22/2015,-0.09%,-0.20%,0.95%,1.79%,0.88%
12/23/2015,1.29%,0.08%,0.85%,0.44%,1.24%
12/24/2015,-0.53%,-0.14%,-0.27%,-0.21%,-0.16%
12/28/2015,-1.12%,1.87%,0.50%,-0.46%,-0.22%
12/29/2015,1.80%,2.78%,1.07%,1.58%,1.06%
12/30/2015,-1.31%,-0.71%,-0.42%,-0.31%,-0.72%
12/31/2015,-1.92%,-1.91%,-1.47%,-1.23%,-0.94%
1/4/2016,0.09%,-5.76%,-1.23%,-1.21%,-1.53%
1/5/2016,-2.51%,-0.50%,0.46%,-0.07%,0.20%
1/6/2016,-1.96%,-0.18%,-1.82%,-0.50%,-1.31%
1/7/2016,-4.22%,-3.91%,-3.48%,-1.71%,-2.37%
1/8/2016,0.53%,-0.15%,0.31%,-0.93%,-1.08%
1/11/2016,1.62%,1.76%,-0.06%,1.22%,0.09%
1/12/2016,1.45%,0.02%,0.92%,-0.25%,0.78%
1/13/2016,-2.57%,-5.84%,-2.16%,-1.30%,-2.50%
1/14/2016,2.19%,1.92%,2.85%,1.33%,1.67%
1/15/2016,-2.40%,-3.85%,-3.99%,-2.17%,-2.16%
1/19/2016,-0.48%,0.75%,-0.84%,-1.48%,0.05%
1/20/2016,0.13%,-0.47%,0.45%,-4.88%,-1.17%
1/21/2016,-0.51%,0.57%,-0.61%,0.86%,0.52%
1/22/2016,5.32%,3.71%,3.59%,-0.33%,2.03%
1/25/2016,-1.95%,0.03%,-0.96%,-0.34%,-1.56%
1/26/2016,0.55%,0.79%,0.73%,0.42%,1.41%
1/27/2016,-6.57%,-2.98%,-1.82%,-1.33%,-1.09%
1/28/2016,0.72%,8.91%,1.63%,1.04%,0.55%
1/29/2016,3.45%,-7.61%,5.83%,2.10%,2.48%
2/1/2016,-0.93%,-2.08%,-0.69%,0.03%,-0.04%
2/2/2016,-2.02%,-3.95%,-3.13%,-1.51%,-1.87%
2/3/2016,1.98%,-3.81%,-1.58%,1.45%,0.50%
2/4/2016,0.26%,0.98%,-0.31%,2.35%,0.15%
2/5/2016,-2.67%,-6.36%,-3.54%,0.72%,-1.85%
2/8/2016,1.05%,-2.79%,-1.50%,-1.24%,-1.42%
2/9/2016,-0.02%,-1.24%,-0.26%,-2.29%,-0.07%
2/10/2016,-0.76%,1.74%,0.87%,-3.13%,-0.02%
2/11/2016,-0.60%,2.72%,-0.04%,-1.95%,-1.23%
2/12/2016,0.31%,0.65%,1.63%,2.71%,1.95%
2/16/2016,2.82%,2.76%,1.17%,1.40%,1.65%
2/17/2016,1.53%,2.49%,2.60%,2.74%,1.65%
2/18/2016,-1.90%,-1.70%,-0.44%,5.04%,-0.47%
2/19/2016,-0.23%,1.89%,-0.71%,0.48%,0.00%
2/22/2016,0.87%,4.60%,1.60%,0.52%,1.45%
2/23/2016,-2.26%,-1.17%,-2.79%,-1.02%,-1.25%
2/24/2016,1.49%,0.20%,0.35%,0.30%,0.44%
2/25/2016,0.69%,0.20%,1.44%,1.28%,1.13%
2/26/2016,0.16%,0.01%,-1.54%,-1.84%,-0.19%
2/29/2016,-0.23%,-0.49%,-0.82%,-0.76%,-0.81%
3/1/2016,3.97%,4.80%,3.34%,2.55%,2.39%
3/2/2016,0.22%,0.20%,0.70%,1.44%,0.41%
3/3/2016,0.74%,-0.47%,-1.13%,1.10%,0.35%
3/4/2016,1.49%,-0.41%,-0.61%,0.00%,0.33%
3/7/2016,-1.11%,-2.15%,-1.92%,1.71%,0.09%
3/8/2016,-0.82%,-0.45%,1.21%,-0.77%,-1.12%
3/9/2016,0.09%,-0.14%,2.30%,0.96%,0.51%
3/10/2016,0.05%,-0.10%,-1.50%,-0.16%,0.02%
3/11/2016,1.08%,1.91%,1.96%,1.55%,1.64%
3/14/2016,0.25%,0.66%,0.19%,0.30%,-0.13%
3/15/2016,2.01%,0.64%,0.79%,0.13%,-0.18%
3/16/2016,1.33%,-0.48%,1.42%,1.28%,0.56%
3/17/2016,-0.16%,-2.58%,0.57%,1.55%,0.66%
3/18/2016,0.11%,-1.32%,-2.14%,0.03%,0.44%
3/21/2016,-0.01%,0.34%,0.69%,1.05%,0.10%
3/22/2016,0.76%,1.17%,0.39%,-0.36%,-0.09%
3/23/2016,-0.55%,1.63%,-0.18%,-1.82%,-0.64%
3/24/2016,-0.43%,2.34%,0.44%,1.75%,-0.04%
3/28/2016,-0.45%,-0.53%,-1.24%,0.30%,0.05%
3/29/2016,2.37%,2.41%,2.19%,0.63%,0.88%
3/30/2016,1.75%,0.81%,0.62%,-0.62%,0.44%
3/31/2016,-0.52%,-0.84%,0.33%,2.05%,-0.20%
4/1/2016,0.92%,0.82%,0.62%,0.71%,0.63%
4/4/2016,1.03%,-0.89%,-0.25%,-0.30%,-0.32%
4/5/2016,-1.18%,-1.19%,-1.57%,-1.36%,-1.01%
4/6/2016,1.05%,2.72%,1.03%,0.01%,1.05%
4/7/2016,-2.18%,-1.77%,-1.20%,-1.18%,-1.20%
4/8/2016,0.11%,0.54%,-0.07%,0.74%,0.28%
4/11/2016,0.33%,0.22%,-0.20%,-0.07%,-0.27%
4/12/2016,1.30%,1.21%,0.63%,0.25%,0.97%
4/13/2016,1.45%,1.93%,1.28%,1.07%,1.00%
4/14/2016,0.05%,0.96%,0.02%,-0.05%,0.02%
4/15/2016,-2.01%,0.83%,0.52%,0.37%,-0.10%
4/18/2016,-2.16%,1.51%,1.46%,0.53%,0.65%
4/19/2016,-0.53%,-1.17%,-0.12%,-5.59%,0.31%
4/20/2016,0.21%,0.81%,-1.42%,1.47%,0.08%
4/21/2016,-1.08%,-0.31%,0.34%,2.18%,-0.52%
4/22/2016,-0.27%,-1.66%,-7.17%,-0.54%,0.00%
4/25/2016,-0.57%,0.92%,0.64%,0.21%,-0.18%
4/26/2016,-0.69%,-1.49%,-1.29%,0.18%,0.19%
4/27/2016,-6.26%,-1.67%,-0.97%,0.93%,0.16%
4/28/2016,-3.06%,-0.75%,-2.04%,-2.26%,-0.92%
4/29/2016,-1.15%,9.57%,-0.06%,-0.77%,-0.51%
5/2/2016,-0.11%,3.68%,1.48%,-0.46%,0.78%
5/3/2016,1.64%,-1.83%,-1.64%,-0.78%,-0.87%
5/4/2016,-1.04%,-0.06%,0.18%,0.08%,-0.59%
5/5/2016,-1.01%,-1.76%,0.14%,1.54%,-0.02%
5/6/2016,-0.56%,2.25%,0.90%,0.56%,0.32%
5/9/2016,0.08%,0.86%,-0.64%,0.03%,0.08%
5/10/2016,0.68%,3.43%,1.90%,1.78%,1.25%
5/11/2016,-0.97%,1.45%,0.06%,-0.68%,-0.96%
5/12/2016,-2.35%,0.66%,0.90%,-0.07%,-0.02%
5/13/2016,0.20%,-1.12%,-0.83%,-0.75%,-0.85%
5/16/2016,3.71%,0.10%,1.47%,1.18%,0.98%
5/17/2016,-0.42%,-2.17%,-2.55%,-0.98%,-0.94%
5/18/2016,1.14%,0.31%,0.59%,-0.45%,0.02%
5/19/2016,-0.38%,0.15%,-0.96%,-1.64%,-0.37%
5/20/2016,1.08%,0.61%,0.60%,1.60%,0.60%
5/23/2016,1.27%,-0.86%,-1.17%,-0.33%,-0.21%
5/24/2016,1.52%,1.07%,3.12%,1.05%,1.37%
5/25/2016,1.76%,0.59%,1.03%,2.28%,0.70%
5/26/2016,0.79%,0.93%,-0.44%,0.49%,-0.02%
5/27/2016,-0.06%,-0.37%,0.83%,0.26%,0.43%
5/31/2016,-0.49%,1.48%,1.30%,0.59%,-0.10%
6/1/2016,-1.40%,-0.46%,-0.28%,-0.80%,0.11%
6/2/2016,-0.75%,1.22%,-0.70%,0.65%,0.28%
6/3/2016,0.20%,-0.37%,-1.31%,-0.40%,-0.29%
6/6/2016,0.73%,0.16%,0.66%,-0.10%,0.49%
6/7/2016,0.41%,-0.41%,-0.06%,0.39%,0.13%
6/8/2016,-0.09%,0.40%,-0.12%,0.44%,0.33%
6/9/2016,0.72%,0.14%,-0.81%,-0.38%,-0.17%
6/10/2016,-0.82%,-1.34%,-0.27%,-0.68%,-0.92%
6/13/2016,-1.51%,-0.37%,-2.60%,-0.72%,-0.81%
6/14/2016,0.12%,0.57%,-0.62%,-0.15%,-0.18%
6/15/2016,-0.33%,-0.70%,-0.28%,-0.25%,-0.18%
6/16/2016,0.42%,0.46%,1.41%,0.25%,0.31%
6/17/2016,-2.28%,-1.55%,-0.52%,0.62%,-0.33%
6/20/2016,-0.24%,1.08%,-0.12%,1.07%,0.58%
6/21/2016,0.85%,0.25%,2.24%,0.29%,0.27%
6/22/2016,-0.38%,-0.73%,-0.39%,-0.73%,-0.17%
6/23/2016,0.58%,1.62%,1.80%,1.59%,1.34%
6/24/2016,-2.81%,-3.20%,-4.01%,-5.64%,-3.59%
6/27/2016,-1.46%,-1.09%,-2.81%,-2.11%,-1.81%
6/28/2016,1.68%,2.40%,2.09%,1.53%,1.78%
6/29/2016,0.87%,1.08%,2.22%,1.89%,1.70%
6/30/2016,1.27%,0.00%,1.25%,2.24%,1.36%
7/1/2016,0.30%,1.41%,-0.02%,0.38%,0.19%
7/5/2016,-0.94%,0.33%,0.02%,-0.44%,-0.68%
7/6/2016,0.57%,1.31%,0.41%,0.45%,0.54%
7/7/2016,0.43%,-0.14%,0.00%,0.15%,-0.09%
7/8/2016,0.77%,1.25%,1.79%,1.22%,1.53%
7/11/2016,0.31%,1.07%,0.55%,0.56%,0.34%
7/12/2016,0.45%,-0.74%,1.18%,1.10%,0.70%
7/13/2016,-0.56%,-0.75%,0.56%,0.62%,0.01%
7/14/2016,1.98%,-0.19%,0.43%,1.43%,0.53%
7/15/2016,-0.01%,-0.78%,-0.07%,-0.31%,-0.09%
7/18/2016,1.06%,0.09%,0.48%,0.05%,0.24%
7/19/2016,0.04%,0.53%,-1.61%,-0.18%,-0.14%
7/20/2016,0.09%,0.78%,5.31%,1.12%,0.43%
7/21/2016,-0.53%,-0.17%,-0.20%,-0.56%,-0.36%
7/22/2016,-0.77%,0.06%,1.38%,1.01%,0.46%
7/25/2016,-1.34%,-0.70%,0.28%,0.36%,-0.30%
7/26/2016,-0.69%,-0.54%,0.05%,-0.33%,0.03%
7/27/2016,6.50%,0.15%,-1.00%,-0.18%,-0.12%
7/28/2016,1.35%,2.16%,0.04%,-0.28%,0.16%
7/29/2016,-0.12%,0.82%,0.84%,-0.46%,0.16%
8/1/2016,1.77%,1.18%,-0.18%,0.52%,-0.13%
8/2/2016,-1.48%,-0.93%,0.00%,-0.54%,-0.64%
8/3/2016,1.25%,-0.78%,0.69%,0.06%,0.31%
8/4/2016,0.08%,0.81%,0.74%,0.55%,0.02%
8/5/2016,1.52%,0.68%,0.99%,1.21%,0.86%
8/8/2016,0.83%,0.08%,0.17%,-0.89%,-0.09%
8/9/2016,0.41%,0.23%,0.24%,-0.17%,0.04%
8/10/2016,-0.74%,0.03%,-0.31%,0.19%,-0.29%
8/11/2016,-0.06%,0.35%,0.48%,0.89%,0.47%
8/12/2016,0.23%,0.17%,-0.62%,-0.97%,-0.08%
8/15/2016,1.20%,-0.53%,0.31%,-0.04%,0.28%
8/16/2016,-0.09%,-0.58%,-1.17%,-0.73%,-0.55%
8/17/2016,-0.15%,0.08%,0.21%,-0.16%,0.19%
8/18/2016,-0.13%,-0.02%,0.07%,0.57%,0.22%
8/19/2016,0.26%,-0.94%,0.03%,-0.82%,-0.14%
8/22/2016,-0.78%,0.29%,0.09%,-0.02%,-0.06%
8/23/2016,0.31%,0.39%,0.38%,0.16%,0.20%
8/24/2016,-0.75%,-0.68%,0.10%,-0.76%,-0.52%
8/25/2016,-0.43%,0.26%,0.38%,-0.26%,-0.14%
8/26/2016,-0.59%,1.29%,-0.24%,-0.20%,-0.16%
8/29/2016,-0.11%,0.30%,0.12%,0.88%,0.52%
8/30/2016,-0.77%,-0.48%,-0.36%,-0.20%,-0.20%
8/31/2016,0.09%,0.21%,-0.74%,-0.33%,-0.24%
9/1/2016,0.59%,0.19%,0.23%,0.42%,0.00%
9/2/2016,0.94%,0.24%,0.14%,0.01%,0.42%
9/6/2016,-0.03%,2.13%,-0.10%,0.50%,0.30%
9/7/2016,0.61%,-0.56%,0.09%,0.80%,-0.01%
9/8/2016,-2.62%,-0.05%,-0.40%,-1.63%,-0.22%
9/9/2016,-2.26%,-3.05%,-2.12%,-2.08%,-2.45%
9/12/2016,2.24%,1.49%,1.49%,1.67%,1.47%
9/13/2016,2.38%,-1.36%,-0.91%,-1.57%,-1.48%
9/14/2016,3.54%,0.01%,-0.48%,-1.13%,-0.06%
9/15/2016,3.40%,1.13%,1.65%,1.05%,1.01%
9/16/2016,-0.56%,1.15%,0.10%,-1.17%,-0.38%
9/19/2016,-1.17%,-0.44%,-0.56%,0.67%,0.00%
9/20/2016,-0.01%,0.66%,-0.21%,-0.27%,0.03%
9/21/2016,-0.02%,1.22%,1.67%,0.70%,1.09%
9/22/2016,0.94%,1.89%,0.10%,0.37%,0.65%
9/23/2016,-1.67%,0.13%,-0.67%,-0.72%,-0.57%
9/26/2016,0.15%,-0.82%,-0.92%,-0.65%,-0.86%
9/27/2016,0.19%,2.12%,1.85%,1.81%,0.64%
9/28/2016,0.76%,1.55%,0.14%,0.97%,0.53%
9/29/2016,-1.55%,0.04%,-1.09%,-0.11%,-0.93%
9/30/2016,0.78%,1.00%,0.35%,0.47%,0.80%
10/3/2016,-0.47%,-0.07%,-0.31%,-0.78%,-0.33%
10/4/2016,0.43%,-0.32%,-0.31%,-0.73%,-0.50%
10/5/2016,0.04%,1.24%,0.70%,0.40%,0.43%
10/6/2016,0.74%,-0.32%,0.17%,-0.13%,0.05%
10/7/2016,0.15%,-0.26%,0.10%,-0.77%,-0.33%
10/10/2016,1.74%,0.27%,0.42%,0.87%,0.46%
10/11/2016,0.22%,-1.27%,-1.46%,-1.42%,-1.24%
10/12/2016,0.89%,0.37%,-0.14%,-0.32%,0.11%
10/13/2016,-0.31%,-0.58%,-0.33%,-0.37%,-0.31%
10/14/2016,0.56%,-0.76%,0.88%,0.47%,0.02%
10/17/2016,-0.07%,-1.22%,-0.35%,0.21%,-0.30%
10/18/2016,-0.07%,0.58%,0.77%,-2.62%,0.62%
10/19/2016,-0.30%,0.00%,-0.23%,0.36%,0.22%
10/20/2016,-0.05%,-0.90%,-0.49%,0.17%,-0.14%
10/21/2016,-0.39%,1.07%,4.21%,-1.25%,-0.01%
10/24/2016,0.90%,2.33%,2.25%,0.63%,0.47%
10/25/2016,0.51%,-0.35%,-0.02%,0.21%,-0.38%
10/26/2016,-2.25%,-1.51%,-0.59%,0.62%,-0.17%
10/27/2016,-0.96%,-0.51%,-0.87%,1.01%,-0.30%
10/28/2016,-0.66%,-5.14%,-0.38%,-0.48%,-0.31%
10/31/2016,-0.16%,1.74%,0.08%,0.71%,-0.01%
11/1/2016,-1.81%,-0.56%,-0.20%,-0.59%,-0.68%
11/2/2016,0.09%,-2.53%,-0.62%,-0.55%,-0.65%
11/3/2016,-1.58%,0.19%,-0.37%,0.28%,-0.44%
11/4/2016,-0.90%,-1.56%,-0.84%,0.04%,-0.17%
11/7/2016,1.44%,3.96%,2.91%,2.16%,2.22%
11/8/2016,0.59%,0.36%,0.08%,-0.35%,0.38%
11/9/2016,-0.16%,-2.01%,-0.50%,-0.23%,1.11%
11/10/2016,-2.79%,-3.82%,-2.44%,3.49%,0.20%
11/11/2016,0.59%,-0.45%,0.55%,0.66%,-0.14%
11/14/2016,-2.51%,-2.70%,-1.52%,-1.90%,-0.01%
11/15/2016,1.32%,3.36%,1.29%,0.29%,0.75%
11/16/2016,2.69%,0.44%,1.32%,0.39%,-0.16%
11/17/2016,-0.04%,1.33%,1.66%,0.32%,0.47%
11/18/2016,0.10%,0.50%,-0.48%,0.37%,-0.24%
11/21/2016,1.52%,2.61%,0.85%,1.48%,0.75%
11/22/2016,0.06%,0.68%,0.43%,-0.06%,0.22%
11/23/2016,-0.51%,-0.66%,-1.18%,-0.42%,0.08%
11/25/2016,0.50%,0.03%,0.22%,0.72%,0.39%
11/28/2016,-0.20%,-1.74%,0.13%,0.85%,-0.53%
11/29/2016,-0.10%,-0.55%,0.79%,-0.60%,0.13%
11/30/2016,-0.84%,-1.57%,-1.36%,-0.80%,-0.27%
12/1/2016,-0.93%,-0.92%,-1.76%,-1.48%,-0.35%
12/2/2016,0.37%,-0.45%,0.08%,0.13%,0.04%
12/5/2016,-0.72%,2.57%,1.64%,-0.11%,0.58%
12/6/2016,0.77%,0.71%,-0.45%,0.32%,0.34%
12/7/2016,0.98%,0.75%,2.37%,2.77%,1.32%
12/8/2016,0.98%,-0.40%,-0.59%,0.35%,0.22%
12/9/2016,1.63%,0.17%,1.57%,0.70%,0.59%
12/12/2016,-0.57%,-1.11%,0.32%,-0.61%,-0.11%
12/13/2016,1.67%,1.87%,1.30%,1.69%,0.65%
12/14/2016,0.00%,-0.71%,-0.48%,0.13%,-0.81%
12/15/2016,0.55%,-1.02%,-0.16%,-0.29%,0.39%
12/16/2016,0.13%,-0.42%,-0.45%,-0.77%,-0.18%
12/19/2016,0.58%,1.09%,2.12%,-0.03%,0.20%
12/20/2016,0.27%,0.68%,-0.13%,0.55%,0.36%
12/21/2016,0.09%,-0.08%,0.00%,-0.16%,-0.25%
12/22/2016,-0.66%,-0.55%,0.02%,-0.16%,-0.19%
12/23/2016,0.20%,-0.75%,-0.49%,-0.21%,0.13%
12/27/2016,0.64%,1.42%,0.06%,0.26%,0.22%
12/28/2016,-0.43%,0.09%,-0.46%,-0.57%,-0.84%
